bag,method,side,aggregation,count,mean,std,min,max,mean_abs_error
straight_inward_tissany_left_3,median_of_4,left,per_bag,917,0.843160,0.236874,0.660245,1.374160,0.243160
straight_inward_tissany_right_1,median_of_4,right,per_bag,527,1.424311,0.748895,0.648405,2.368551,0.824311
straight_inward_tissany_right_2,median_of_4,right,per_bag,460,1.305268,0.695161,0.652313,2.315162,0.705268
straight_inward_tissany_right_3,median_of_4,right,per_bag,544,1.350659,0.644567,0.650289,2.279358,0.750659
straight_inward_ansis_left (3 runs),median_of_4,left,3_runs,2752,0.776959,0.274686,0.586753,1.376791,0.177798
straight_inward_ansis_right (3 runs),median_of_4,right,3_runs,1492,1.213523,0.800905,0.144197,2.301071,0.760696
straight_inward_jeryl_left (3 runs),median_of_4,left,3_runs,3011,0.778881,0.319670,0.509561,1.375427,0.190167
straight_inward_jeryl_right (3 runs),median_of_4,right,3_runs,1837,1.414941,0.807186,0.498236,2.607843,0.848647
straight_inward_muktha_left (3 runs),median_of_4,left,3_runs,2686,0.913327,0.251001,0.696998,1.378437,0.313327
straight_inward_muktha_right (3 runs),median_of_4,right,3_runs,1680,1.404156,0.686818,0.606182,2.313827,0.804156
straight_inward_tissany_left (3 runs),median_of_4,left,3_runs,2809,0.883780,0.270944,0.660245,1.378972,0.283780
straight_inward_tissany_right (3 runs),median_of_4,right,3_runs,1531,1.362374,0.698730,0.648405,2.368551,0.762374
